privacy.html: en - English
privacy-ar.html: ar - Arabic
privacy-bg.html: bg - Bulgarian
privacy-ca.html: ca - Catalan
privacy-cs.html: cs - Czech
privacy-da.html: da - Danish
privacy-de.html: de - German
privacy-el.html: el - Greek
privacy-es.html: es - Spanish
privacy-et.html: et - Estonian
privacy-fi.html: fi - Finnish
privacy-fr.html: fr - French
privacy-he.html: he - Hebrew
privacy-hi.html: hi - Hindi
privacy-hu.html: hu - Hungarian
privacy-id.html: id - Indonesian
privacy-it.html: it - Italian
privacy-ja.html: ja - Japanese
privacy-ko.html: ko - Korean
privacy-lt.html: lt - Lithuanian
privacy-lv.html: lv - Latvian
privacy-nl.html: nl - Dutch
privacy-no.html: no - Norwegian
privacy-pl.html: pl - Polish
privacy-pt.html: pt - Portuguese
privacy-ro.html: ro - Romanian
privacy-ru.html: ru - Russian
privacy-sk.html: sk - Slovak
privacy-sv.html: sv - Swedish
privacy-th.html: th - Thai
privacy-tr.html: tr - Turkish
privacy-uk.html: uk - Ukrainian
privacy-vi.html: vi - Vietnamese
privacy-zh.html: zh-Hans - Chinese (Simplified)
privacy-zh-Hans.html: zh-Hans - Chinese (Simplified)
privacy-zh-Hant.html: zh-Hant - Chinese (Traditional)
privacy-hr.html: hr - Croatian
privacy-ms.html: ms - Malay
